,885009.WI,H11001.CSI,000300.SH,399005.SZ,HSI.HI
2007/2/9,1064.8878,114.97,2397.245,3124.278,20526.29953
2007/2/12,1065.1437,114.96,2485.392,3219.97,20459.3469
2007/2/13,1065.2327,114.9,2522.63,3262.263,20010.04724
2007/2/14,1065.3204,114.92,2588.349,3302.824,20056.51678
2007/2/15,1065.3991,114.94,2668.633,3375.289,20383.97108
2007/2/16,1065.4685,114.96,2676.735,3395.531,20389.38054
2007/2/26,1066.1121,114.56,2707.676,3424.483,20354.75561
2007/2/27,1066.1682,114.54,2457.492,3102.618,19980.64268
2007/2/28,1066.2274,114.66,2544.571,3178.455,19469.14399
2007/3/1,1066.2884,114.77,2473.544,3103.451,19186.79708
2007/3/2,1066.3473,114.9,2508.729,3159.366,19276.75292
2007/3/5,1066.5255,114.88,2475.606,3171.498,18489.61678
2007/3/6,1066.5878,114.89,2520.293,3195.752,18891.22584
2007/3/7,1066.6469,114.93,2589.436,3300.218,18743.83177
2007/3/8,1066.7118,114.92,2627.63,3361.173,18983.4183
2007/3/9,1066.7721,115.13,2611.393,3333.143,18967.25845
2007/3/12,1066.9562,115.14,2616.172,3369.278,19275.79846
2007/3/13,1067.0159,115.11,2640.169,3367.878,19148.12185
2007/3/14,1067.0765,114.93,2597.357,3343.648,18651.76298
2007/3/15,1067.14,114.91,2645.546,3419.774,18794.92115
2007/3/16,1067.2015,114.87,2604.226,3394.811,18777.80105
2007/3/19,1067.3951,114.83,2659.413,3413.405,19078.11862
2007/3/20,1067.4595,114.85,2672.771,3442.103,19173.78373
2007/3/21,1067.5243,114.82,2702.597,3473.588,19323.9782
2007/3/22,1067.5906,114.8,2711.322,3486.641,19488.62184
2007/3/23,1067.6535,114.82,2716.266,3552.104,19504.37836
2007/3/26,1067.8467,114.84,2764.034,3618.933,19580.64399
2007/3/27,1067.9131,114.86,2784.023,3614.45,19506.96315
2007/3/28,1067.985,114.85,2797.649,3591.302,19352.85622
2007/3/29,1068.0468,114.87,2783.305,3549.126,19612.06557
2007/3/30,1068.1088,114.8,2781.784,3584.096,19601.53463
2007/4/2,1068.0875,114.86,2850.107,3639.931,19596.71605
2007/4/3,1068.1473,114.86,2888.115,3698.735,19781.07008
2007/4/4,1068.2055,114.89,2911.821,3710.869,19998.51853
2007/4/5,1068.2618,114.9,2945.045,3742.409,19977.29834
2007/4/6,1068.337,114.9,2972.008,3805.445,19973.45849
2007/4/9,1068.5278,115.02,3038.172,3853.034,19982.14867
2007/4/10,1068.5934,114.94,3081.568,3904.302,20122.61908
2007/4/11,1068.6586,114.94,3121.319,3929.423,20226.32672
2007/4/12,1068.7194,114.61,3176.437,4038.664,20152.97066
2007/4/13,1068.7866,114.63,3169.233,4073.946,20104.40452
2007/4/16,1068.9768,114.63,3255.998,4224.137,20515.28962
2007/4/17,1069.0467,114.56,3283.604,4255.678,20573.24
2007/4/18,1069.119,114.37,3304.501,4291.664,20545.84099
2007/4/19,1069.1972,114.2,3150.303,4062.068,20060.78241
2007/4/20,1069.2826,114.16,3289.282,4215.05,20325.9609
2007/4/23,1069.5583,114.07,3431.318,4314.589,20331.26999
2007/4/24,1069.6368,114.03,3445.196,4295.764,20345.47056
2007/4/25,1069.7191,114.03,3448.281,4260.52,20283.97224
2007/4/26,1069.7992,114.21,3493.581,4294.249,20405.43544
2007/4/27,1069.8776,114.28,3470.523,4208.46,20244.26063
2007/4/30,1070.084,114.55,3558.709,4272.818,20017.85272
2007/5/8,1070.6346,114.52,3686.03,4371.617,20378.56848
2007/5/9,1070.6969,114.51,3701.277,4369.74,20520.22678
2007/5/10,1070.7658,114.44,3724.51,4344.64,20419.30878
2007/5/11,1070.8339,114.36,3702.612,4294.033,20104.89927
2007/5/14,1071.0204,114.39,3734.42,4354.787,20593.43178
2007/5/15,1071.0857,114.18,3604.636,4229.642,20560.13611
2007/5/16,1071.1679,114.09,3700.287,4315.771,20589.49211
2007/5/17,1071.2288,113.89,3778.605,4450.145,20620.48605
2007/5/18,1071.2947,113.85,3776.629,4541.087,20529.80717
2007/5/21,1071.4817,113.68,3831.443,4638.416,20514.84549
2007/5/22,1071.543,113.59,3870.489,4660.999,20400.15294
2007/5/23,1071.609,113.52,3938.945,4759.176,20349.29627
2007/5/24,1071.6722,113.17,3919.748,4690.84,20344.7205
2007/5/25,1071.7319,113.06,3985.252,4786.822,20065.10135
2007/5/28,1071.9153,113.14,4072.578,4911.353,20076.87349
2007/5/29,1071.9824,113.21,4168.289,5046.581,20035.2253
2007/5/30,1072.0485,113.28,3886.459,4650.545,19852.57366
2007/5/31,1072.1149,113.23,3927.952,4682.997,20221.16157
2007/6/1,1072.1821,113.21,3803.954,4477.232,20176.39059
2007/6/4,1072.375,113.2,3511.431,4173.604,20308.77932
2007/6/5,1072.4417,113.18,3634.633,4241.929,20404.25643
2007/6/6,1072.509,113.11,3677.58,4335.991,20369.55258
2007/6/7,1072.5736,113.14,3802.304,4526.639,20372.30071
2007/6/8,1072.6332,113.05,3837.867,4574.788,20117.22014
2007/6/11,1072.8131,113.03,3931.862,4724.846,20257.19278
2007/6/12,1072.8767,113,4036.109,4846.006,20195.59671
2007/6/13,1072.9539,112.88,4118.268,4975.884,20082.59634
2007/6/14,1073.0249,112.82,4075.821,4975.462,20360.60293
2007/6/15,1073.1045,112.72,4099.381,5010.572,20496.66784
2007/6/18,1073.409,112.56,4227.569,5140.844,21039.43283
2007/6/19,1073.5197,112.46,4253,5183.642,21034.90042
2007/6/20,1073.6454,112.44,4157.599,5035.813,21133.66254
2007/6/21,1073.7529,112.35,4197.28,5000.609,21408.43781
2007/6/22,1073.8479,112.26,4051.426,4731.249,21463.99219
2007/6/25,1074.0762,112.22,3877.59,4532.238,21277.88237
2007/6/26,1074.1374,112.17,3928.213,4619.875,21261.53325
2007/6/27,1074.2057,112.13,4040.484,4766.821,21159.23105
2007/6/28,1074.2687,112.06,3858.522,4489.292,21385.15747
2007/6/29,1074.3636,112.1,3764.078,4345.515,21214.4772
2007/7/2,1074.7349,112.19,3757.655,4386.315,21185.7372
2007/7/3,1074.8513,112.19,3832.227,4485.767,21522.93367
2007/7/4,1074.9747,112.08,3743.582,4389.755,21619.76008
2007/7/5,1075.0862,112.02,3537.435,4187.995,21660.39288
